Child,Parent,Derivation Type,Certainty Type,Notes
Α,𐤀,8,,
Β,𐤁,1,,
Γ,𐤂,1,,
Δ,𐤃,1,,
Ε,𐤄,1,,
Ι,𐤉,1,,
Κ,𐤊,1,,
Λ,𐤋,1,,
Μ,𐤌,1,,
Ν,𐤍,1,,
Ο,𐤏,1,,
Π,𐤐,1,,
Ρ,𐤓,1,,
Σ,𐤔,8,,
Τ,𐤕,1,,
Υ,𐤅,1,,
Ζ,𐤆,1,,
Θ,𐤈,1,,
Ξ,𐤎,1,,
Φ,Ϙ,1,3,
Ω,Ο,1,,

α,Α,1,5,
β,Β,1,5,
γ,Γ,1,5,
δ,Δ,1,5,
ε,Ε,1,5,
ζ,Ζ,1,5,
η,Η,1,5,
θ,Θ,1,5,
ι,Ι,1,5,
κ,Κ,1,5,
λ,Λ,1,5,
μ,Μ,1,5,
ν,Ν,1,5,
ξ,Ξ,1,5,
ο,Ο,5,5,
π,Π,1,5,
ρ,Ρ,1,5,
σ,Σ,1,5,
ς,Σ,1,5,
τ,Τ,1,5,
υ,Υ,1,5,
φ,Φ,1,5,
χ,Χ,1,5,
ψ,Ψ,1,5,
ω,Ω,1,5,

Ϝ,𐤅,1,,
Η,𐤇,1,,
Ϙ,𐤒,1,,
Ϻ,𐤑,1,,
Ϛ,Σ/Τ,1,
ϛ,Ϛ,1,5
Ϲ,Σ,1,,
Ϡ,Ͳ,1,,
Ͳ,Ϻ,1,2,
