Child,Parent,Certainty Type,Source,Notes
ᚠ,𐌅,2
ᚡ,ᚠ

ᚢ,𐌖,3
ᚣ,ᚢ
ᚤ,ᚢ

ᚦ,D/𐌈/,3
ᚧ,ᚦ

ᚨ,𐌀,2
ᚩ,ᚨ
ᚪ,ᚨ
ᚫ,ᚨ
ᚬ,ᚨ
ᚯ,ᚬ
ᚭ,ᚬ

ᚱ,R,3

ᚲ,C/𐌂,2
ᚳ,ᚲ
ᚴ,ᚳ/ᛋ,,,Symbol can stand for a Younger Futhark K rune or Anglo-Saxon "bookhand"-variant S rune
ᚵ,ᚴ
ᛣ,ᚳ,,Wikipedia: Anglo-Saxon_runes#Rune_inventory

ᚷ,X,3
ᚸ,ᚷ

ᚻ,ᚺ

ᚾ,𐌍/,3
ᛀ,ᚾ
ᚿ,ᚾ

ᛁ,𐌉,4
ᛂ,ᛁ

ᛃ,𐌭,3,UEP: Three Old Italic
ᛃ,G/,3
ᛡ,ᛃ
ᛄ,ᛃ
ᛅ,ᛡ
ᛆ,ᛅ/ᛁ,,,Symbol can stand for a dotted Isaz (ᛁ) or shortened Ar (ᛅ)

ᛇ,Z/Y,3

ᛈ,ᛒ,3

ᛉ,𐌙/Y/𐌆,3
ᛦ,ᛉ
ᛧ,ᛦ
ᛨ,ᛦ

ᛊ,S/𐌔,2
ᛋ,ᛊ

ᛐ,ᛏ
ᛑ,ᛐ

ᛒ,𐌁,2
ᛔ,ᛒ

ᛖ,E/Η/,3

ᛗ,𐌌,2
ᛘ,ᛗ
ᛙ,ᛘ

ᛚ,𐌋,2
ᛛ,ᛚ

ᛜ,Q/,3
ᛝ,ᛜ

ᛞ,𐌑,3

ᛟ,𐌏/Ω,3
