Child,Parent,Derivation Type,Certainty Type,Source
̀,,1,2,Wikipedia: Grave accent
́,,1,2,Wikipedia: Acute accent
̂,́/̀,1,1,Wikipedia: Circumflex
̃,̂,1,1,Wikipedia: Circumflex
̈,,1,2,Wikipedia: Diaeresis (diacritic)

̐,𑀀,,4,,Generic Chandrabindu code point - deriving it from the presumed original makes sense

ٍ,ِ,1,2,https://blogs.transparent.com/arabic/tanween-nunation-in-arabic-types/
ٌ,ُ,1,2,https://blogs.transparent.com/arabic/tanween-nunation-in-arabic-types/
ً,َ,1,2,https://blogs.transparent.com/arabic/tanween-nunation-in-arabic-types/
ّ,,3,,https://en.wikipedia.org/wiki/Shaddah
